scorer,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000,DeepCut_resnet50_laserInCabinetMar10shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,tailBase,tailBase,tailBase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,237.0735206604004,427.79662561416626,1.0,185.2264518737793,392.22139978408813,1.0,149.85660231113434,364.5609130859375,1.0
1,185.4113643169403,425.95727825164795,0.5048586130142212,191.56833624839783,404.20507068932056,1.0,179.64420276880264,381.0205888748169,1.0
2,184.45398545265198,412.8864965438843,2.7477741241455078e-05,189.2319266796112,404.8468368053436,0.9999999403953552,183.4069058895111,381.3497667312622,1.0
3,189.78727340698242,391.10430812835693,3.4332275390625e-05,190.19126915931702,405.0029458999634,0.9997122287750244,187.7272426187992,388.29536151885986,1.0
4,190.2001075744629,385.34179162979126,3.644824028015137e-05,190.99025964736938,406.3431296348572,0.9999995231628418,190.25650930404663,389.3020610809326,1.0
5,190.0705738067627,386.0617437362671,3.936886787414551e-05,190.94833898544312,407.3112289905548,0.9999995231628418,190.01893043518066,390.57397413253784,1.0
6,187.72140502929688,380.92178720235825,2.1845102310180664e-05,188.43705469369888,404.49304261803627,0.9999986886978149,184.94441604614258,382.0747528076172,1.0
7,186.37048256397247,418.8046723604202,0.2820044159889221,189.80762565135956,394.5077438354492,1.0,174.77773094177246,365.57415318489075,1.0
8,211.48104375600815,406.2100639343262,1.0,187.19606637954712,386.0740580558777,1.0,168.9159288406372,362.77096223831177,1.0
9,221.20024490356445,404.48162746429443,1.0,190.74205589294434,387.4269347190857,1.0,165.3636302947998,362.1005606651306,1.0
10,224.89420795440674,414.03758907318115,1.0,194.12350988388062,389.3272829055786,1.0,164.3738250732422,361.9028859138489,1.0
11,237.57018506526947,400.92645263671875,1.0,197.29273808002472,389.43470096588135,1.0,160.23015069961548,365.73893547058105,1.0
12,238.7730951309204,377.1123924255371,1.0,198.53571462631226,388.3198461532593,1.0,155.17257499694824,375.6587438583374,1.0
13,230.9836664199829,353.5202474594116,1.0,202.7394208908081,385.91964864730835,1.0,160.1900815963745,384.1185712814331,1.0
14,238.94640159606934,331.0639343261719,1.0,212.87078779935837,378.3244905471802,1.0,168.36697244644165,390.2907657623291,1.0
15,246.07427859306335,304.9336643218994,1.0,227.04551392793655,355.53211307525635,1.0,188.14136505126953,394.6697120666504,1.0
16,237.1321301460266,284.3100161254406,0.9993060827255249,231.75488233566284,343.6055884361267,1.0,205.31594324111938,389.8009920120239,1.0
17,225.9179286956787,267.2478528022766,0.9869678020477295,227.63628885149956,321.88698148727417,1.0,213.76790499687195,370.1217837333679,1.0
18,221.80104684829712,242.70451641082764,0.9992940425872803,223.9390435218811,300.5842390060425,1.0,219.72265577316284,351.48171067237854,1.0
19,228.1687372326851,210.94578790664673,1.0,226.89315247535706,276.75632190704346,1.0,229.27140986919403,324.2524766921997,1.0
20,229.37522399425507,188.09842777252197,1.0,229.50123989582062,252.4822120666504,1.0,225.90257692337036,304.26114988327026,1.0
21,227.89473867416382,168.07742023468018,1.0,225.84777188301086,237.50301361083984,1.0,227.0098853111267,286.10832619667053,1.0
